Date,datevalue,t,Close
2005-12-27,38713,2005.989,26.98
2005-12-23,38709,2005.978,27.73
2005-12-22,38708,2005.975,27.6
2005-12-21,38707,2005.972,27.39
2005-12-20,38706,2005.969,25.11
2005-12-19,38705,2005.967,25.62
2005-12-16,38702,2005.958,26.3
2005-12-15,38701,2005.956,25.94
2005-12-14,38700,2005.953,24.43
2005-12-13,38699,2005.95,24.05
2005-12-12,38698,2005.947,25.1
2005-12-09,38695,2005.939,25.74
2005-12-08,38694,2005.936,27.5
2005-12-07,38693,2005.933,27.38
2005-12-06,38692,2005.931,27.75
2005-12-05,38691,2005.928,27.7
2005-12-02,38688,2005.919,27.69
2005-12-01,38687,2005.917,27.11
2005-11-30,38686,2005.914,27.54
2005-11-29,38685,2005.911,27
2005-11-28,38684,2005.908,27.58
2005-11-25,38681,2005.9,29.25
2005-11-23,38679,2005.894,29.02
2005-11-22,38678,2005.892,29.2
2005-11-21,38677,2005.889,28.71
2005-11-18,38674,2005.881,28.42
2005-11-17,38673,2005.878,28.75
2005-11-16,38672,2005.875,27.74
2005-11-15,38671,2005.872,27.95
2005-11-14,38670,2005.869,29.02
2005-11-11,38667,2005.861,30.07
2005-11-10,38666,2005.858,29.55
2005-11-09,38665,2005.856,28.15
2005-11-08,38664,2005.853,28.56
2005-11-07,38663,2005.85,27.81
2005-11-04,38660,2005.842,27.59
2005-11-03,38659,2005.839,27.08
2005-11-02,38658,2005.836,27.12
2005-11-01,38657,2005.833,25.68
2005-10-31,38656,2005.833,26.41
2005-10-28,38653,2005.825,26.28
2005-10-27,38652,2005.822,25.9
2005-10-26,38651,2005.819,24.98
2005-10-25,38650,2005.817,27.41
2005-10-24,38649,2005.814,26.97
2005-10-21,38646,2005.806,26.15
2005-10-20,38645,2005.803,25.63
2005-10-19,38644,2005.8,28.35
2005-10-18,38643,2005.797,27.45
2005-10-17,38642,2005.794,29.1
2005-10-14,38639,2005.786,28.76
2005-10-13,38638,2005.783,27.9
2005-10-12,38637,2005.781,27.51
2005-10-11,38636,2005.778,28.21
2005-10-10,38635,2005.775,28.69
2005-10-07,38632,2005.767,27.25
