Datevalue,Date,t,Close
26.11.1928,1928-11-26,1928.903,291.16
27.11.1928,1928-11-27,1928.906,292.39
28.11.1928,1928-11-28,1928.908,295.62
30.11.1928,1928-11-30,1928.914,293.38
01.12.1928,1928-12-01,1928.917,290.8
03.12.1928,1928-12-03,1928.922,289.23
04.12.1928,1928-12-04,1928.925,291.3
05.12.1928,1928-12-05,1928.928,290.68
06.12.1928,1928-12-06,1928.931,279.79
07.12.1928,1928-12-07,1928.933,271.05
08.12.1928,1928-12-08,1928.936,257.33
10.12.1928,1928-12-10,1928.942,263.95
11.12.1928,1928-12-11,1928.944,269.34
12.12.1928,1928-12-12,1928.947,266.82
13.12.1928,1928-12-13,1928.95,266.88
14.12.1928,1928-12-14,1928.953,272.26
15.12.1928,1928-12-15,1928.956,270.72
17.12.1928,1928-12-17,1928.961,270.23
18.12.1928,1928-12-18,1928.964,275.42
19.12.1928,1928-12-19,1928.967,280.5
20.12.1928,1928-12-20,1928.969,282.01
21.12.1928,1928-12-21,1928.972,286.53
22.12.1928,1928-12-22,1928.975,285.94
24.12.1928,1928-12-24,1928.981,287.89
26.12.1928,1928-12-26,1928.986,286.13
27.12.1928,1928-12-27,1928.989,290.95
28.12.1928,1928-12-28,1928.992,296.52
29.12.1928,1928-12-29,1928.994,297.28
31.12.1928,1928-12-31,1929,300
02.01.1929,1929-01-02,1929.003,307.01
03.01.1929,1929-01-03,1929.006,305.72
04.01.1929,1929-01-04,1929.008,304.75
05.01.1929,1929-01-05,1929.011,302.43
07.01.1929,1929-01-07,1929.017,297.7
08.01.1929,1929-01-08,1929.019,296.98
09.01.1929,1929-01-09,1929.022,300.83
10.01.1929,1929-01-10,1929.025,301.58
11.01.1929,1929-01-11,1929.028,301.66
12.01.1929,1929-01-12,1929.031,301.25
14.01.1929,1929-01-14,1929.036,304.06
15.01.1929,1929-01-15,1929.039,297.66
16.01.1929,1929-01-16,1929.042,302.66
17.01.1929,1929-01-17,1929.044,303.95
18.01.1929,1929-01-18,1929.047,304.14
19.01.1929,1929-01-19,1929.05,305.96
21.01.1929,1929-01-21,1929.056,304.64
22.01.1929,1929-01-22,1929.058,307.06
23.01.1929,1929-01-23,1929.061,310.33
